Year,Make,Model,Fuel-type
2013,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2014,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2014,TOYOTA,PRIUS,PETROL HYBRID
2014,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2015,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2015,TOYOTA,PRIUS,PETROL HYBRID
2015,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2016,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2016,TOYOTA,PRIUS,PETROL HYBRID
2016,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2017,TOYOTA,PRIUS,ELECTRIC
2017,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2017,TOYOTA,PRIUS,PETROL HYBRID
2017,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2018,TOYOTA,PRIUS,PETROL ELECTRIC HYBRID
2018,TOYOTA,PRIUS,PETROL HYBRID
2018,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2019,TOYOTA,PRIUS,PETROL HYBRID
2019,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2020,TOYOTA,PRIUS,PETROL HYBRID
2020,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2021,TOYOTA,PRIUS,PETROL HYBRID
2021,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2022,TOYOTA,PRIUS,PLUGIN PETROL HYBRID
2012,TOYOTA,RACTIS,PETROL HYBRID
1994,TOYOTA,RAV4,ELECTRIC
2006,TOYOTA,RAV4,PETROL HYBRID
2009,TOYOTA,RAV4,PETROL HYBRID
2019,TOYOTA,RAV4,PETROL HYBRID
2019,TOYOTA,RAV4,PLUGIN PETROL HYBRID
2020,TOYOTA,RAV4,PETROL HYBRID
2020,TOYOTA,RAV4,PLUGIN PETROL HYBRID
2021,TOYOTA,RAV4,PETROL HYBRID
2021,TOYOTA,RAV4,PLUGIN PETROL HYBRID
2022,TOYOTA,RAV4,PETROL HYBRID
2009,TOYOTA,SAI,PETROL ELECTRIC HYBRID
2009,TOYOTA,SAI,PETROL HYBRID
2010,TOYOTA,SAI,PETROL ELECTRIC HYBRID
2010,TOYOTA,SAI,PETROL HYBRID
2011,TOYOTA,SAI,PETROL HYBRID
2012,TOYOTA,SAI,PETROL ELECTRIC HYBRID
2012,TOYOTA,SAI,PETROL HYBRID
2013,TOYOTA,SAI,PETROL HYBRID
2014,TOYOTA,SAI,PETROL ELECTRIC HYBRID
2014,TOYOTA,SAI,PETROL HYBRID
2015,TOYOTA,SAI,PETROL ELECTRIC HYBRID
2015,TOYOTA,SAI,PETROL HYBRID
2016,TOYOTA,SAI,PETROL HYBRID
2017,TOYOTA,SAI,PETROL HYBRID
1990,TOYOTA,SERA,ELECTRIC
2016,TOYOTA,SIENNA,PETROL HYBRID
2015,TOYOTA,SIENTA,PETROL HYBRID
2016,TOYOTA,SIENTA,PETROL HYBRID
2017,TOYOTA,SIENTA,PETROL HYBRID
2018,TOYOTA,SIENTA,PETROL HYBRID
2019,TOYOTA,SIENTA,PETROL HYBRID
1980,TOYOTA,STARLET,ELECTRIC
1990,TOYOTA,STARLET,ELECTRIC
2007,TOYOTA,VANGUARD,PETROL HYBRID
2009,TOYOTA,VANGUARD,PETROL HYBRID
2010,TOYOTA,VANGUARD,PETROL HYBRID
2011,TOYOTA,VANGUARD,PETROL HYBRID
2010,TOYOTA,VELLFIRE,PETROL HYBRID
2011,TOYOTA,VELLFIRE,PETROL HYBRID
2012,TOYOTA,VELLFIRE,PETROL HYBRID
2013,TOYOTA,VELLFIRE,PETROL HYBRID
2014,TOYOTA,VELLFIRE,PETROL HYBRID
2015,TOYOTA,VELLFIRE,PETROL ELECTRIC HYBRID
2015,TOYOTA,VELLFIRE,PETROL HYBRID
2016,TOYOTA,VELLFIRE,PETROL HYBRID
2017,TOYOTA,VELLFIRE,PETROL HYBRID
2018,TOYOTA,VELLFIRE,PETROL HYBRID
2019,TOYOTA,VELLFIRE,PETROL HYBRID
2020,TOYOTA,VELLFIRE,PETROL HYBRID
2021,TOYOTA,VELLFIRE,PETROL HYBRID
2004,TOYOTA,VITZ,PETROL HYBRID
2011,TOYOTA,VITZ,PETROL HYBRID
2014,TOYOTA,VITZ,PETROL HYBRID
2017,TOYOTA,VITZ,PETROL ELECTRIC HYBRID
2017,TOYOTA,VITZ,PETROL HYBRID
2018,TOYOTA,VITZ,PETROL HYBRID
2019,TOYOTA,VITZ,PETROL HYBRID
2006,TOYOTA,VOXY,PETROL HYBRID
2014,TOYOTA,VOXY,PETROL HYBRID
2015,TOYOTA,VOXY,PETROL HYBRID
2016,TOYOTA,VOXY,PETROL HYBRID
2018,TOYOTA,VOXY,PETROL HYBRID
2008,TOYOTA,WISH,PETROL HYBRID
2009,TOYOTA,WISH,DIESEL ELECTRIC HYBRID
2009,TOYOTA,WISH,PETROL HYBRID
2010,TOYOTA,WISH,PETROL HYBRID
2011,TOYOTA,WISH,PETROL HYBRID
2012,TOYOTA,WISH,PETROL HYBRID
2012,TOYOTA,YARIS,PETROL HYBRID
2015,TOYOTA,YARIS,PETROL HYBRID
2017,TOYOTA,YARIS,PETROL HYBRID
2020,TOYOTA,YARIS,PETROL HYBRID
2021,TOYOTA,YARIS,PETROL HYBRID
2022,TOYOTA,YARIS,PETROL HYBRID
2020,TOYOTA,YARIS CROSS,PETROL HYBRID
2021,TOYOTA,YARIS CROSS,PETROL HYBRID
2022,TOYOTA,YARIS CROSS,PETROL HYBRID
2007,TOYOTA LEXUS,LS,PETROL HYBRID
2013,TOYOTA LEXUS,LS,PETROL HYBRID
2006,TOYOTA LEXUS,RX,PETROL HYBRID
2011,TOYOTA LEXUS,RX,PETROL HYBRID
2014,VAUXHALL,AMPERA,PETROL HYBRID
2015,VAUXHALL,AMPERA,PLUGIN PETROL HYBRID
2020,VAUXHALL,CORSA,ELECTRIC
2021,VAUXHALL,MOKKA-E,ELECTRIC
1904,VETERAN,BAKER,ELECTRIC
1903,VETERAN,LEMS 1903,ELECTRIC
1965,VOLKSWAGEN,1200,ELECTRIC
1971,VOLKSWAGEN,1302S,ELECTRIC
1963,VOLKSWAGEN,BEETLE,ELECTRIC
2014,VOLKSWAGEN,E-UP,ELECTRIC
2020,VOLKSWAGEN,E-UP,ELECTRIC
2010,VOLKSWAGEN,GOLF,PETROL HYBRID
2011,VOLKSWAGEN,GOLF,PETROL HYBRID
2014,VOLKSWAGEN,GOLF,ELECTRIC
2014,VOLKSWAGEN,GOLF,PETROL HYBRID
2015,VOLKSWAGEN,GOLF,ELECTRIC
2015,VOLKSWAGEN,GOLF,PETROL HYBRID
2015,VOLKSWAGEN,GOLF,PLUGIN PETROL HYBRID
2016,VOLKSWAGEN,GOLF,ELECTRIC
2016,VOLKSWAGEN,GOLF,PETROL ELECTRIC HYBRID
2016,VOLKSWAGEN,GOLF,PETROL HYBRID
2016,VOLKSWAGEN,GOLF,PLUGIN PETROL HYBRID
2017,VOLKSWAGEN,GOLF,ELECTRIC
2017,VOLKSWAGEN,GOLF,PETROL HYBRID
2017,VOLKSWAGEN,GOLF,PLUGIN PETROL HYBRID
2018,VOLKSWAGEN,GOLF,ELECTRIC
2018,VOLKSWAGEN,GOLF,PLUGIN PETROL HYBRID
2019,VOLKSWAGEN,GOLF,ELECTRIC
2020,VOLKSWAGEN,GOLF,ELECTRIC
2020,VOLKSWAGEN,GOLF,PLUGIN PETROL HYBRID
2021,VOLKSWAGEN,GOLF,ELECTRIC
2020,VOLKSWAGEN,ID3,ELECTRIC
2021,VOLKSWAGEN,ID3,ELECTRIC
2021,VOLKSWAGEN,ID4,ELECTRIC
2006,VOLKSWAGEN,JETTA,PETROL HYBRID
1968,VOLKSWAGEN,KARMANN,ELECTRIC
2016,VOLKSWAGEN,PASSAT,PETROL HYBRID
2016,VOLKSWAGEN,PASSAT,PLUGIN PETROL HYBRID
2017,VOLKSWAGEN,PASSAT,PLUGIN PETROL HYBRID
2022,VOLKSWAGEN,T7,PLUGIN PETROL HYBRID
2011,VOLKSWAGEN,TOUAREG,PETROL HYBRID
2012,VOLKSWAGEN,TOUAREG,PETROL HYBRID
2013,VOLKSWAGEN,TOUAREG,PETROL HYBRID
2014,VOLKSWAGEN,TOUAREG,PETROL HYBRID
2021,VOLKSWAGEN,TOUAREG,PLUGIN PETROL HYBRID
2020,VOLVO,S60,PLUGIN PETROL HYBRID
2022,VOLVO,S60,PETROL HYBRID
2018,VOLVO,S90,PLUGIN PETROL HYBRID
2009,VOLVO,V50,PETROL HYBRID
2020,VOLVO,V60,PLUGIN PETROL HYBRID
2021,VOLVO,V60 CROSS COUNTRY,PETROL HYBRID
2022,VOLVO,V60 CROSS COUNTRY,PETROL HYBRID
2021,VOLVO,V90,DIESEL ELECTRIC HYBRID
2021,VOLVO,XC40,ELECTRIC
2021,VOLVO,XC40,PLUGIN PETROL HYBRID
2022,VOLVO,XC40,PLUGIN PETROL HYBRID
2017,VOLVO,XC60,PLUGIN PETROL HYBRID
2018,VOLVO,XC60,PLUGIN PETROL HYBRID
2019,VOLVO,XC60,PLUGIN PETROL HYBRID
2020,VOLVO,XC60,PETROL HYBRID
2020,VOLVO,XC60,PLUGIN PETROL HYBRID
2021,VOLVO,XC60,PETROL HYBRID
2021,VOLVO,XC60,PLUGIN PETROL HYBRID
2022,VOLVO,XC60,PETROL HYBRID
2022,VOLVO,XC60,PLUGIN PETROL HYBRID
2016,VOLVO,XC90,PLUGIN PETROL HYBRID
2017,VOLVO,XC90,PLUGIN PETROL HYBRID
2018,VOLVO,XC90,PLUGIN PETROL HYBRID
2019,VOLVO,XC90,PLUGIN PETROL HYBRID
2020,VOLVO,XC90,PLUGIN PETROL HYBRID
2021,VOLVO,XC90,PETROL HYBRID
2021,VOLVO,XC90,PLUGIN PETROL HYBRID
2022,VOLVO,XC90,PETROL HYBRID
2022,VOLVO,XC90,PLUGIN PETROL HYBRID
